"StateFIPS","State","CensusTract","Census Tract","Year","Value","Data Comment","95% Confidence Interval","Confidence Interval Low","Confidence Interval High",
"13","Georgia","13001950100","Appling County, GA - 13001950100","2018","10.6%","","(9.2% - 11.9%)","9.2%","11.9%",
"13","Georgia","13001950100","Appling County, GA - 13001950100","2019","9.9%","","(8.7% - 11.2%)","8.7%","11.2%",
"13","Georgia","13001950100","Appling County, GA - 13001950100","2020","9.0%","","(7.9% - 10.2%)","7.9%","10.2%",
"13","Georgia","13001950100","Appling County, GA - 13001950100","2021","8.8%","","(7.4% - 10.5%)","7.4%","10.5%",
"13","Georgia","13001950100","Appling County, GA - 13001950100","2022","13.0%","","(11.7% - 14.3%)","11.7%","14.3%",
"13","Georgia","13001950200","Appling County, GA - 13001950200","2018","10.0%","","(9.1% - 10.9%)","9.1%","10.9%",
"13","Georgia","13001950200","Appling County, GA - 13001950200","2019","10.9%","","(10.0% - 11.8%)","10.0%","11.8%",
"13","Georgia","13001950200","Appling County, GA - 13001950200","2020","10.0%","","(9.0% - 11.0%)","9.0%","11.0%",
"13","Georgia","13001950200","Appling County, GA - 13001950200","2021","9.9%","","(8.6% - 11.4%)","8.6%","11.4%",
"13","Georgia","13001950200","Appling County, GA - 13001950200","2022","Low Population","","","","",
"13","Georgia","13001950201","Appling County, GA - 13001950201","2022","9.5%","","(8.6% - 10.6%)","8.6%","10.6%",
"13","Georgia","13001950202","Appling County, GA - 13001950202","2022","11.1%","","(10.1% - 12.2%)","10.1%","12.2%",
"13","Georgia","13001950300","Appling County, GA - 13001950300","2018","13.1%","","(12.0% - 14.3%)","12.0%","14.3%",
"13","Georgia","13001950300","Appling County, GA - 13001950300","2019","13.3%","","(12.2% - 14.4%)","12.2%","14.4%",
"13","Georgia","13001950300","Appling County, GA - 13001950300","2020","12.4%","","(11.0% - 13.8%)","11.0%","13.8%",
"13","Georgia","13001950300","Appling County, GA - 13001950300","2021","12.1%","","(10.5% - 13.8%)","10.5%","13.8%",
"13","Georgia","13001950300","Appling County, GA - 13001950300","2022","Low Population","","","","",
"13","Georgia","13001950301","Appling County, GA - 13001950301","2022","9.5%","","(8.6% - 10.5%)","8.6%","10.5%",
"13","Georgia","13001950302","Appling County, GA - 13001950302","2022","13.0%","","(11.8% - 14.3%)","11.8%","14.3%",
"13","Georgia","13001950400","Appling County, GA - 13001950400","2018","10.8%","","(10.1% - 11.5%)","10.1%","11.5%",
"13","Georgia","13001950400","Appling County, GA - 13001950400","2019","11.1%","","(10.3% - 11.9%)","10.3%","11.9%",
"13","Georgia","13001950400","Appling County, GA - 13001950400","2020","10.2%","","(9.4% - 10.9%)","9.4%","10.9%",
"13","Georgia","13001950400","Appling County, GA - 13001950400","2021","10.0%","","(8.7% - 11.4%)","8.7%","11.4%",
"13","Georgia","13001950400","Appling County, GA - 13001950400","2022","13.1%","","(11.9% - 14.4%)","11.9%","14.4%",
"13","Georgia","13001950500","Appling County, GA - 13001950500","2018","10.9%","","(9.4% - 12.4%)","9.4%","12.4%",
"13","Georgia","13001950500","Appling County, GA - 13001950500","2019","10.0%","","(8.8% - 11.3%)","8.8%","11.3%",
"13","Georgia","13001950500","Appling County, GA - 13001950500","2020","9.2%","","(8.1% - 10.4%)","8.1%","10.4%",
"13","Georgia","13001950500","Appling County, GA - 13001950500","2021","8.9%","","(7.5% - 10.6%)","7.5%","10.6%",
"13","Georgia","13001950500","Appling County, GA - 13001950500","2022","14.1%","","(12.7% - 15.5%)","12.7%","15.5%",
"13","Georgia","13003960100","Atkinson County, GA - 13003960100","2018","12.5%","","(11.5% - 13.5%)","11.5%","13.5%",
"13","Georgia","13003960100","Atkinson County, GA - 13003960100","2019","11.7%","","(10.7% - 12.8%)","10.7%","12.8%",
"13","Georgia","13003960100","Atkinson County, GA - 13003960100","2020","11.0%","","(9.7% - 12.3%)","9.7%","12.3%",
"13","Georgia","13003960100","Atkinson County, GA - 13003960100","2021","10.8%","","(9.2% - 12.5%)","9.2%","12.5%",
"13","Georgia","13003960100","Atkinson County, GA - 13003960100","2022","12.9%","","(11.6% - 14.1%)","11.6%","14.1%",
"13","Georgia","13003960200","Atkinson County, GA - 13003960200","2018","10.2%","","(9.4% - 11.0%)","9.4%","11.0%",
"13","Georgia","13003960200","Atkinson County, GA - 13003960200","2019","10.7%","","(9.9% - 11.6%)","9.9%","11.6%",
"13","Georgia","13003960200","Atkinson County, GA - 13003960200","2020","9.9%","","(8.9% - 10.9%)","8.9%","10.9%",
"13","Georgia","13003960200","Atkinson County, GA - 13003960200","2021","9.7%","","(8.4% - 11.0%)","8.4%","11.0%",
