"GEO_ID","NAME","B19013_001M","B19013_001E",
"Geography","Geographic Area Name","Margin of Error!!Median household income in the past 12 months (in 2010 inflation-adjusted dollars)","Estimate!!Median household income in the past 12 months (in 2010 inflation-adjusted dollars)",
"0400000US13","Georgia","240","49347",
"1400000US13001950100","Census Tract 9501, Appling County, Georgia","6813","43372",
"1400000US13001950200","Census Tract 9502, Appling County, Georgia","3832","29048",
"1400000US13001950300","Census Tract 9503, Appling County, Georgia","11840","38958",
"1400000US13001950400","Census Tract 9504, Appling County, Georgia","14067","49722",
"1400000US13001950500","Census Tract 9505, Appling County, Georgia","8419","36426",
"1400000US13003960100","Census Tract 9601, Atkinson County, Georgia","8902","32759",
"1400000US13003960200","Census Tract 9602, Atkinson County, Georgia","3768","33750",
"1400000US13003960300","Census Tract 9603, Atkinson County, Georgia","14304","34899",
"1400000US13005970100","Census Tract 9701, Bacon County, Georgia","17705","41813",
"1400000US13005970201","Census Tract 9702.01, Bacon County, Georgia","4114","29653",
"1400000US13005970202","Census Tract 9702.02, Bacon County, Georgia","12085","32358",
"1400000US13007960100","Census Tract 9601, Baker County, Georgia","15751","35486",
"1400000US13007960200","Census Tract 9602, Baker County, Georgia","4084","22690",
"1400000US13009970100","Census Tract 9701, Baldwin County, Georgia","5888","44250",
"1400000US13009970200","Census Tract 9702, Baldwin County, Georgia","10714","43894",
"1400000US13009970300","Census Tract 9703, Baldwin County, Georgia","8092","47426",
"1400000US13009970400","Census Tract 9704, Baldwin County, Georgia","7610","28487",
"1400000US13009970500","Census Tract 9705, Baldwin County, Georgia","7940","25476",
"1400000US13009970600","Census Tract 9706, Baldwin County, Georgia","7620","34692",
"1400000US13009970701","Census Tract 9707.01, Baldwin County, Georgia","9796","26563",
"1400000US13009970702","Census Tract 9707.02, Baldwin County, Georgia","14717","34038",
"1400000US13009970800","Census Tract 9708, Baldwin County, Georgia","7608","40337",
"1400000US13011970100","Census Tract 9701, Banks County, Georgia","4615","35929",
"1400000US13011970200","Census Tract 9702, Banks County, Georgia","6639","46250",
"1400000US13011970300","Census Tract 9703, Banks County, Georgia","4739","39867",
"1400000US13011970400","Census Tract 9704, Banks County, Georgia","11299","46078",
"1400000US13013180103","Census Tract 1801.03, Barrow County, Georgia","18381","67566",
"1400000US13013180104","Census Tract 1801.04, Barrow County, Georgia","11921","45817",
"1400000US13013180105","Census Tract 1801.05, Barrow County, Georgia","22794","54766",
"1400000US13013180106","Census Tract 1801.06, Barrow County, Georgia","6589","43776",
"1400000US13013180107","Census Tract 1801.07, Barrow County, Georgia","15052","39130",
"1400000US13013180108","Census Tract 1801.08, Barrow County, Georgia","16205","65150",
"1400000US13013180203","Census Tract 1802.03, Barrow County, Georgia","6858","24191",
"1400000US13013180204","Census Tract 1802.04, Barrow County, Georgia","14534","40208",
"1400000US13013180205","Census Tract 1802.05, Barrow County, Georgia","10981","38077",
"1400000US13013180206","Census Tract 1802.06, Barrow County, Georgia","11564","62632",
"1400000US13013180301","Census Tract 1803.01, Barrow County, Georgia","18186","49063",
"1400000US13013180302","Census Tract 1803.02, Barrow County, Georgia","12696","54828",
"1400000US13013180303","Census Tract 1803.03, Barrow County, Georgia","6318","55729",
"1400000US13013180401","Census Tract 1804.01, Barrow County, Georgia","6717","52997",
