"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2015 Inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2015 Inflation-adjusted dollars)",
"0400000US13","Georgia","49620","245",
"1400000US13001950100","Census Tract 9501, Appling County, Georgia","50338","10748",
"1400000US13001950200","Census Tract 9502, Appling County, Georgia","30930","4697",
"1400000US13001950300","Census Tract 9503, Appling County, Georgia","36405","3701",
"1400000US13001950400","Census Tract 9504, Appling County, Georgia","29696","15031",
"1400000US13001950500","Census Tract 9505, Appling County, Georgia","40050","8883",
"1400000US13003960100","Census Tract 9601, Atkinson County, Georgia","30111","7626",
"1400000US13003960200","Census Tract 9602, Atkinson County, Georgia","29141","4898",
"1400000US13003960300","Census Tract 9603, Atkinson County, Georgia","50000","20311",
"1400000US13005970100","Census Tract 9701, Bacon County, Georgia","50048","17449",
"1400000US13005970201","Census Tract 9702.01, Bacon County, Georgia","38618","8546",
"1400000US13005970202","Census Tract 9702.02, Bacon County, Georgia","33271","2489",
"1400000US13007960100","Census Tract 9601, Baker County, Georgia","39375","15038",
"1400000US13007960200","Census Tract 9602, Baker County, Georgia","48628","6067",
"1400000US13009970100","Census Tract 9701, Baldwin County, Georgia","43173","15192",
"1400000US13009970200","Census Tract 9702, Baldwin County, Georgia","35286","8595",
"1400000US13009970300","Census Tract 9703, Baldwin County, Georgia","54407","9624",
"1400000US13009970400","Census Tract 9704, Baldwin County, Georgia","27117","4489",
"1400000US13009970500","Census Tract 9705, Baldwin County, Georgia","17813","3057",
"1400000US13009970600","Census Tract 9706, Baldwin County, Georgia","24769","3251",
"1400000US13009970701","Census Tract 9707.01, Baldwin County, Georgia","18333","5877",
"1400000US13009970702","Census Tract 9707.02, Baldwin County, Georgia","30577","9375",
"1400000US13009970800","Census Tract 9708, Baldwin County, Georgia","35084","6974",
"1400000US13011970100","Census Tract 9701, Banks County, Georgia","42283","4423",
"1400000US13011970200","Census Tract 9702, Banks County, Georgia","38929","5255",
"1400000US13011970300","Census Tract 9703, Banks County, Georgia","45625","8533",
"1400000US13011970400","Census Tract 9704, Banks County, Georgia","38884","16280",
"1400000US13013180103","Census Tract 1801.03, Barrow County, Georgia","79115","11873",
