"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2024 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2024 inflation-adjusted dollars)",
"0400000US13","Georgia","77353","407",
"1400000US13001950100","Census Tract 9501; Appling County; Georgia","50222","10978",
"1400000US13001950201","Census Tract 9502.01; Appling County; Georgia","57653","18997",
"1400000US13001950202","Census Tract 9502.02; Appling County; Georgia","29899","14229",
"1400000US13001950301","Census Tract 9503.01; Appling County; Georgia","45486","21320",
"1400000US13001950302","Census Tract 9503.02; Appling County; Georgia","38673","5588",
"1400000US13001950400","Census Tract 9504; Appling County; Georgia","68333","15786",
"1400000US13001950500","Census Tract 9505; Appling County; Georgia","56842","27734",
"1400000US13003960100","Census Tract 9601; Atkinson County; Georgia","33750","7321",
"1400000US13003960200","Census Tract 9602; Atkinson County; Georgia","41157","9798",
"1400000US13003960300","Census Tract 9603; Atkinson County; Georgia","65811","35345",
"1400000US13005970100","Census Tract 9701; Bacon County; Georgia","47235","13698",
"1400000US13005970201","Census Tract 9702.01; Bacon County; Georgia","47619","12706",
"1400000US13005970202","Census Tract 9702.02; Bacon County; Georgia","32773","12297",
"1400000US13007960100","Census Tract 9601; Baker County; Georgia","53750","16958",
"1400000US13007960200","Census Tract 9602; Baker County; Georgia","39257","14838",
"1400000US13009970101","Census Tract 9701.01; Baldwin County; Georgia","67724","26661",
"1400000US13009970102","Census Tract 9701.02; Baldwin County; Georgia","62643","30522",
"1400000US13009970201","Census Tract 9702.01; Baldwin County; Georgia","37706","5701",
"1400000US13009970202","Census Tract 9702.02; Baldwin County; Georgia","90500","36256",
"1400000US13009970301","Census Tract 9703.01; Baldwin County; Georgia","89676","13656",
"1400000US13009970302","Census Tract 9703.02; Baldwin County; Georgia","67750","23772",
"1400000US13009970400","Census Tract 9704; Baldwin County; Georgia","60227","12184",
"1400000US13009970501","Census Tract 9705.01; Baldwin County; Georgia","22760","11873",
"1400000US13009970502","Census Tract 9705.02; Baldwin County; Georgia","-","**",
"1400000US13009970600","Census Tract 9706; Baldwin County; Georgia","50556","18706",
"1400000US13009970701","Census Tract 9707.01; Baldwin County; Georgia","35100","20471",
"1400000US13009970702","Census Tract 9707.02; Baldwin County; Georgia","46813","15918",
"1400000US13009970801","Census Tract 9708.01; Baldwin County; Georgia","67462","21130",
"1400000US13009970802","Census Tract 9708.02; Baldwin County; Georgia","76486","31761",
"1400000US13011970100","Census Tract 9701; Banks County; Georgia","70313","29170",
"1400000US13011970200","Census Tract 9702; Banks County; Georgia","94744","11428",
"1400000US13011970300","Census Tract 9703; Banks County; Georgia","71111","16998",
