"GEO_ID","NAME","B01003_001M","B01003_001E",
"Geography","Geographic Area Name","Margin of Error!!Total","Estimate!!Total",
"0400000US13","Georgia","*****","9468815",
"1400000US13001950100","Census Tract 9501, Appling County, Georgia","400","2860",
"1400000US13001950200","Census Tract 9502, Appling County, Georgia","483","4230",
"1400000US13001950300","Census Tract 9503, Appling County, Georgia","537","4992",
"1400000US13001950400","Census Tract 9504, Appling County, Georgia","358","1882",
"1400000US13001950500","Census Tract 9505, Appling County, Georgia","469","4086",
"1400000US13003960100","Census Tract 9601, Atkinson County, Georgia","327","2218",
"1400000US13003960200","Census Tract 9602, Atkinson County, Georgia","317","5055",
"1400000US13003960300","Census Tract 9603, Atkinson County, Georgia","251","1059",
"1400000US13005970100","Census Tract 9701, Bacon County, Georgia","515","2711",
"1400000US13005970201","Census Tract 9702.01, Bacon County, Georgia","593","3996",
"1400000US13005970202","Census Tract 9702.02, Bacon County, Georgia","530","4262",
"1400000US13007960100","Census Tract 9601, Baker County, Georgia","293","2370",
"1400000US13007960200","Census Tract 9602, Baker County, Georgia","293","1287",
"1400000US13009970100","Census Tract 9701, Baldwin County, Georgia","519","5201",
"1400000US13009970200","Census Tract 9702, Baldwin County, Georgia","1007","7536",
"1400000US13009970300","Census Tract 9703, Baldwin County, Georgia","510","5400",
"1400000US13009970400","Census Tract 9704, Baldwin County, Georgia","802","4990",
"1400000US13009970500","Census Tract 9705, Baldwin County, Georgia","565","4238",
"1400000US13009970600","Census Tract 9706, Baldwin County, Georgia","523","4552",
"1400000US13009970701","Census Tract 9707.01, Baldwin County, Georgia","714","3240",
"1400000US13009970702","Census Tract 9707.02, Baldwin County, Georgia","718","4617",
"1400000US13009970800","Census Tract 9708, Baldwin County, Georgia","714","7131",
"1400000US13011970100","Census Tract 9701, Banks County, Georgia","442","5361",
"1400000US13011970200","Census Tract 9702, Banks County, Georgia","427","5123",
"1400000US13011970300","Census Tract 9703, Banks County, Georgia","311","4172",
"1400000US13011970400","Census Tract 9704, Banks County, Georgia","328","3184",
"1400000US13013180103","Census Tract 1801.03, Barrow County, Georgia","512","3350",
"1400000US13013180104","Census Tract 1801.04, Barrow County, Georgia","306","2138",
"1400000US13013180105","Census Tract 1801.05, Barrow County, Georgia","529","3242",
"1400000US13013180106","Census Tract 1801.06, Barrow County, Georgia","436","2787",
"1400000US13013180107","Census Tract 1801.07, Barrow County, Georgia","368","4025",
"1400000US13013180108","Census Tract 1801.08, Barrow County, Georgia","419","3750",
"1400000US13013180203","Census Tract 1802.03, Barrow County, Georgia","553","3579",
"1400000US13013180204","Census Tract 1802.04, Barrow County, Georgia","415","2285",
"1400000US13013180205","Census Tract 1802.05, Barrow County, Georgia","686","4032",
"1400000US13013180206","Census Tract 1802.06, Barrow County, Georgia","600","3461",
"1400000US13013180301","Census Tract 1803.01, Barrow County, Georgia","328","1895",
"1400000US13013180302","Census Tract 1803.02, Barrow County, Georgia","557","4954",
"1400000US13013180303","Census Tract 1803.03, Barrow County, Georgia","382","4254",
"1400000US13013180401","Census Tract 1804.01, Barrow County, Georgia","465","3764",
"1400000US13013180402","Census Tract 1804.02, Barrow County, Georgia","479","5947",
"1400000US13013180501","Census Tract 1805.01, Barrow County, Georgia","602","4968",
"1400000US13013180502","Census Tract 1805.02, Barrow County, Georgia","453","4216",
"1400000US13013180503","Census Tract 1805.03, Barrow County, Georgia","433","3712",
"1400000US13015960101","Census Tract 9601.01, Bartow County, Georgia","265","1377",
"1400000US13015960102","Census Tract 9601.02, Bartow County, Georgia","678","9893",
"1400000US13015960200","Census Tract 9602, Bartow County, Georgia","707","10911",
"1400000US13015960300","Census Tract 9603, Bartow County, Georgia","838","7541",
"1400000US13015960401","Census Tract 9604.01, Bartow County, Georgia","738","8380",
