"GEO_ID","NAME","B01003_001E","B01003_001M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total",
"0400000US13","Georgia","10516579","*****",
"1400000US13001950100","Census Tract 9501, Appling County, Georgia","3269","549",
"1400000US13001950201","Census Tract 9502.01, Appling County, Georgia","2276","392",
"1400000US13001950202","Census Tract 9502.02, Appling County, Georgia","2504","427",
"1400000US13001950301","Census Tract 9503.01, Appling County, Georgia","3008","436",
"1400000US13001950302","Census Tract 9503.02, Appling County, Georgia","1729","362",
"1400000US13001950400","Census Tract 9504, Appling County, Georgia","1892","414",
"1400000US13001950500","Census Tract 9505, Appling County, Georgia","3750","597",
"1400000US13003960100","Census Tract 9601, Atkinson County, Georgia","2342","286",
"1400000US13003960200","Census Tract 9602, Atkinson County, Georgia","4506","331",
"1400000US13003960300","Census Tract 9603, Atkinson County, Georgia","1463","269",
"1400000US13005970100","Census Tract 9701, Bacon County, Georgia","2869","445",
"1400000US13005970201","Census Tract 9702.01, Bacon County, Georgia","4206","436",
"1400000US13005970202","Census Tract 9702.02, Bacon County, Georgia","4065","414",
"1400000US13007960100","Census Tract 9601, Baker County, Georgia","2017","230",
"1400000US13007960200","Census Tract 9602, Baker County, Georgia","1073","230",
"1400000US13009970101","Census Tract 9701.01, Baldwin County, Georgia","2310","423",
"1400000US13009970102","Census Tract 9701.02, Baldwin County, Georgia","2987","435",
"1400000US13009970201","Census Tract 9702.01, Baldwin County, Georgia","3686","742",
"1400000US13009970202","Census Tract 9702.02, Baldwin County, Georgia","3404","534",
"1400000US13009970301","Census Tract 9703.01, Baldwin County, Georgia","2276","369",
"1400000US13009970302","Census Tract 9703.02, Baldwin County, Georgia","3488","591",
"1400000US13009970400","Census Tract 9704, Baldwin County, Georgia","4394","747",
"1400000US13009970501","Census Tract 9705.01, Baldwin County, Georgia","4008","557",
"1400000US13009970502","Census Tract 9705.02, Baldwin County, Georgia","2988","411",
"1400000US13009970600","Census Tract 9706, Baldwin County, Georgia","3226","529",
"1400000US13009970701","Census Tract 9707.01, Baldwin County, Georgia","1969","345",
"1400000US13009970702","Census Tract 9707.02, Baldwin County, Georgia","2315","550",
"1400000US13009970801","Census Tract 9708.01, Baldwin County, Georgia","3325","707",
"1400000US13009970802","Census Tract 9708.02, Baldwin County, Georgia","4696","567",
"1400000US13011970100","Census Tract 9701, Banks County, Georgia","5334","550",
"1400000US13011970200","Census Tract 9702, Banks County, Georgia","4848","466",
"1400000US13011970300","Census Tract 9703, Banks County, Georgia","4926","564",
"1400000US13011970400","Census Tract 9704, Banks County, Georgia","3792","537",
"1400000US13013180103","Census Tract 1801.03, Barrow County, Georgia","5803","571",
"1400000US13013180104","Census Tract 1801.04, Barrow County, Georgia","2252","318",
"1400000US13013180105","Census Tract 1801.05, Barrow County, Georgia","3031","398",
"1400000US13013180106","Census Tract 1801.06, Barrow County, Georgia","2506","308",
"1400000US13013180107","Census Tract 1801.07, Barrow County, Georgia","4336","507",
"1400000US13013180108","Census Tract 1801.08, Barrow County, Georgia","2872","362",
"1400000US13013180203","Census Tract 1802.03, Barrow County, Georgia","3687","685",
"1400000US13013180204","Census Tract 1802.04, Barrow County, Georgia","3202","527",
"1400000US13013180205","Census Tract 1802.05, Barrow County, Georgia","4708","583",
