"GEO_ID","NAME","B01003_001E","B01003_001M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total",
"0400000US13","Georgia","10940407","*****",
"1400000US13001950100","Census Tract 9501; Appling County; Georgia","3219","595",
"1400000US13001950201","Census Tract 9502.01; Appling County; Georgia","2246","454",
"1400000US13001950202","Census Tract 9502.02; Appling County; Georgia","2152","509",
"1400000US13001950301","Census Tract 9503.01; Appling County; Georgia","3264","470",
"1400000US13001950302","Census Tract 9503.02; Appling County; Georgia","2144","367",
"1400000US13001950400","Census Tract 9504; Appling County; Georgia","1715","375",
"1400000US13001950500","Census Tract 9505; Appling County; Georgia","3753","483",
"1400000US13003960100","Census Tract 9601; Atkinson County; Georgia","1830","379",
"1400000US13003960200","Census Tract 9602; Atkinson County; Georgia","4710","414",
"1400000US13003960300","Census Tract 9603; Atkinson County; Georgia","1797","266",
"1400000US13005970100","Census Tract 9701; Bacon County; Georgia","2456","376",
"1400000US13005970201","Census Tract 9702.01; Bacon County; Georgia","4222","518",
"1400000US13005970202","Census Tract 9702.02; Bacon County; Georgia","4431","501",
"1400000US13007960100","Census Tract 9601; Baker County; Georgia","1800","182",
"1400000US13007960200","Census Tract 9602; Baker County; Georgia","990","182",
"1400000US13009970101","Census Tract 9701.01; Baldwin County; Georgia","2296","392",
"1400000US13009970102","Census Tract 9701.02; Baldwin County; Georgia","2947","425",
"1400000US13009970201","Census Tract 9702.01; Baldwin County; Georgia","3598","772",
"1400000US13009970202","Census Tract 9702.02; Baldwin County; Georgia","3029","446",
"1400000US13009970301","Census Tract 9703.01; Baldwin County; Georgia","2545","380",
"1400000US13009970302","Census Tract 9703.02; Baldwin County; Georgia","3558","542",
"1400000US13009970400","Census Tract 9704; Baldwin County; Georgia","3678","601",
"1400000US13009970501","Census Tract 9705.01; Baldwin County; Georgia","3615","394",
"1400000US13009970502","Census Tract 9705.02; Baldwin County; Georgia","2754","444",
"1400000US13009970600","Census Tract 9706; Baldwin County; Georgia","3965","559",
"1400000US13009970701","Census Tract 9707.01; Baldwin County; Georgia","1876","344",
"1400000US13009970702","Census Tract 9707.02; Baldwin County; Georgia","1677","419",
"1400000US13009970801","Census Tract 9708.01; Baldwin County; Georgia","2962","543",
"1400000US13009970802","Census Tract 9708.02; Baldwin County; Georgia","5142","495",
"1400000US13011970100","Census Tract 9701; Banks County; Georgia","5132","492",
"1400000US13011970200","Census Tract 9702; Banks County; Georgia","5385","485",
"1400000US13011970300","Census Tract 9703; Banks County; Georgia","4868","491",
"1400000US13011970400","Census Tract 9704; Banks County; Georgia","3879","482",
"1400000US13013180103","Census Tract 1801.03; Barrow County; Georgia","5888","622",
"1400000US13013180104","Census Tract 1801.04; Barrow County; Georgia","3506","308",
"1400000US13013180105","Census Tract 1801.05; Barrow County; Georgia","3160","441",
"1400000US13013180106","Census Tract 1801.06; Barrow County; Georgia","2961","308",
"1400000US13013180107","Census Tract 1801.07; Barrow County; Georgia","3965","543",
"1400000US13013180108","Census Tract 1801.08; Barrow County; Georgia","3209","415",
"1400000US13013180203","Census Tract 1802.03; Barrow County; Georgia","2951","621",
"1400000US13013180204","Census Tract 1802.04; Barrow County; Georgia","3766","639",
"1400000US13013180205","Census Tract 1802.05; Barrow County; Georgia","5472","608",
"1400000US13013180206","Census Tract 1802.06; Barrow County; Georgia","3737","548",
"1400000US13013180301","Census Tract 1803.01; Barrow County; Georgia","3738","716",
"1400000US13013180302","Census Tract 1803.02; Barrow County; Georgia","6840","673",
"1400000US13013180303","Census Tract 1803.03; Barrow County; Georgia","6267","914",
"1400000US13013180401","Census Tract 1804.01; Barrow County; Georgia","6598","620",
"1400000US13013180402","Census Tract 1804.02; Barrow County; Georgia","6958","661",
"1400000US13013180501","Census Tract 1805.01; Barrow County; Georgia","8821","974",
"1400000US13013180502","Census Tract 1805.02; Barrow County; Georgia","5066","509",
"1400000US13013180503","Census Tract 1805.03; Barrow County; Georgia","6983","676",
"1400000US13015960101","Census Tract 9601.01; Bartow County; Georgia","1767","308",
"1400000US13015960103","Census Tract 9601.03; Bartow County; Georgia","3938","896",
