"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!White alone","Margin of Error!!Total:!!White alone","Estimate!!Total:!!Black or African American alone","Margin of Error!!Total:!!Black or African American alone","Estimate!!Total:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!American Indian and Alaska Native alone","Estimate!!Total:!!Asian alone","Margin of Error!!Total:!!Asian alone","Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Some other race alone","Margin of Error!!Total:!!Some other race alone","Estimate!!Total:!!Two or more races:","Margin of Error!!Total:!!Two or more races:","Estimate!!Total:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races",
"0400000US13","Georgia","10516579","*****","6020265","10140","3319844","6054","34962","2051","434603","2785","7127","1097","306609","9769","393169","9768","130839","6970","262330","6978",
"1400000US13001950100","Census Tract 9501, Appling County, Georgia","3269","549","2918","519","165","144","0","14","0","14","0","14","183","202","3","5","0","14","3","5",
"1400000US13001950201","Census Tract 9502.01, Appling County, Georgia","2276","392","1512","369","637","267","111","169","0","14","0","14","16","26","0","14","0","14","0","14",
"1400000US13001950202","Census Tract 9502.02, Appling County, Georgia","2504","427","1182","315","1288","314","0","14","0","14","0","14","21","32","13","14","5","9","8","13",
"1400000US13001950301","Census Tract 9503.01, Appling County, Georgia","3008","436","2226","418","288","294","0","14","0","14","0","14","226","175","268","251","268","251","0","14",
"1400000US13001950302","Census Tract 9503.02, Appling County, Georgia","1729","362","1468","312","241","172","0","14","0","14","0","14","0","14","20","27","0","14","20","27",
"1400000US13001950400","Census Tract 9504, Appling County, Georgia","1892","414","1455","373","361","160","2","6","0","14","0","14","28","48","46","42","6","9","40","41",
"1400000US13001950500","Census Tract 9505, Appling County, Georgia","3750","597","2840","426","662","375","10","16","0","14","0","14","195","197","43","52","0","14","43","52",
"1400000US13003960100","Census Tract 9601, Atkinson County, Georgia","2342","286","1760","249","308","131","0","14","0","14","0","14","272","164","2","4","0","14","2","4",
"1400000US13003960200","Census Tract 9602, Atkinson County, Georgia","4506","331","2768","334","973","138","0","14","0","14","0","14","435","265","330","207","157","161","173","132",
"1400000US13003960300","Census Tract 9603, Atkinson County, Georgia","1463","269","1337","252","18","22","56","19","0","14","0","14","0","14","52","94","52","94","0","14",
"1400000US13005970100","Census Tract 9701, Bacon County, Georgia","2869","445","2813","447","20","38","0","14","0","14","0","14","0","14","36","41","0","14","36","41",
"1400000US13005970201","Census Tract 9702.01, Bacon County, Georgia","4206","436","2987","393","965","192","0","14","28","52","0","14","99","136","127","91","0","14","127","91",
"1400000US13005970202","Census Tract 9702.02, Bacon County, Georgia","4065","414","3070","361","847","193","0","14","24","33","0","14","107","132","17","27","16","27","1","3",
"1400000US13007960100","Census Tract 9601, Baker County, Georgia","2017","230","992","245","860","289","0","14","133","130","0","14","0","14","32","47","0","14","32","47",
"1400000US13007960200","Census Tract 9602, Baker County, Georgia","1073","230","690","187","321","147","3","5","42","58","17","28","0","14","0","14","0","14","0","14",
"1400000US13009970101","Census Tract 9701.01, Baldwin County, Georgia","2310","423","1197","231","1080","451","0","14","0","14","0","14","0","14","33","48","0","14","33","48",
"1400000US13009970102","Census Tract 9701.02, Baldwin County, Georgia","2987","435","1897","359","1046","299","0","14","25","106","0","14","0","14","19","35","0","14","19","35",
"1400000US13009970201","Census Tract 9702.01, Baldwin County, Georgia","3686","742","1818","576","1688","532","0","14","180","380","0","14","0","14","0","14","0","14","0","14",
"1400000US13009970202","Census Tract 9702.02, Baldwin County, Georgia","3404","534","2420","465","872","422","0","14","18","30","0","14","20","32","74","65","0","14","74","65",
"1400000US13009970301","Census Tract 9703.01, Baldwin County, Georgia","2276","369","1303","443","639","361","0","14","321","345","0","14","0","14","13","22","0","14","13","22",
"1400000US13009970302","Census Tract 9703.02, Baldwin County, Georgia","3488","591","1900","365","1399","441","0","14","170","174","0","14","11","23","8","17","0","14","8","17",
"1400000US13009970400","Census Tract 9704, Baldwin County, Georgia","4394","747","2077","455","2278","620","0","14","0","14","0","14","25","42","14","18","0","14","14","18",
"1400000US13009970501","Census Tract 9705.01, Baldwin County, Georgia","4008","557","2653","407","1090","412","0","14","27","45","0","14","38","47","200","160","8","16","192","159",
"1400000US13009970502","Census Tract 9705.02, Baldwin County, Georgia","2988","411","1576","228","1351","337","24","22","9","18","0","14","0","14","28","33","9","19","19","26",
"1400000US13009970600","Census Tract 9706, Baldwin County, Georgia","3226","529","1209","257","1873","447","0","14","7","21","0","14","0","14","137","130","0","14","137","130",
"1400000US13009970701","Census Tract 9707.01, Baldwin County, Georgia","1969","345","822","229","1048","313","4","8","16","23","0","14","0","14","79","80","29","31","50","68",
"1400000US13009970702","Census Tract 9707.02, Baldwin County, Georgia","2315","550","570","146","1556","480","0","14","8","14","0","14","98","107","83","117","7","16","76","117",
"1400000US13009970801","Census Tract 9708.01, Baldwin County, Georgia","3325","707","2263","677","885","255","0","14","21","53","72","127","7","12","77","104","76","104","1","2",
"1400000US13009970802","Census Tract 9708.02, Baldwin County, Georgia","4696","567","2408","445","2147","451","24","42","0","14","0","14","24","42","93","42","47","42","46","42",
"1400000US13011970100","Census Tract 9701, Banks County, Georgia","5334","550","4828","543","0","20","0","20","16","23","0","20","317","228","173","170","170","170","3","5",
"1400000US13011970200","Census Tract 9702, Banks County, Georgia","4848","466","4530","458","96","80","0","14","0","14","0","14","3","5","219","131","0","14","219","131",
"1400000US13011970300","Census Tract 9703, Banks County, Georgia","4926","564","4402","589","246","169","0","14","37","53","0","14","159","172","82","77","0","14","82","77",
"1400000US13011970400","Census Tract 9704, Banks County, Georgia","3792","537","3461","485","66","78","94","130","158","76","0","14","0","14","13","25","13","25","0","14",
"1400000US13013180103","Census Tract 1801.03, Barrow County, Georgia","5803","571","4503","488","610","277","39","47","436","221","0","20","11","18","204","250","38","61","166","197",
"1400000US13013180104","Census Tract 1801.04, Barrow County, Georgia","2252","318","1679","283","217","121","0","14","45","50","0","14","124","169","187","107","104","95","83","58",
"1400000US13013180105","Census Tract 1801.05, Barrow County, Georgia","3031","398","2433","334","88","76","0","14","203","157","0","14","38","52","269","263","224","258","45","44",
"1400000US13013180106","Census Tract 1801.06, Barrow County, Georgia","2506","308","2002","263","308","224","7","12","30","39","0","14","49","69","110","78","52","58","58","56",
"1400000US13013180107","Census Tract 1801.07, Barrow County, Georgia","4336","507","3497","565","36","43","0","14","632","287","0","14","91","128","80","87","21","32","59","81",
"1400000US13013180108","Census Tract 1801.08, Barrow County, Georgia","2872","362","2540","355","168","136","20","32","55","72","0","14","26","45","63","51","0","14","63","51",
"1400000US13013180203","Census Tract 1802.03, Barrow County, Georgia","3687","685","1419","339","1132","312","0","14","189","148","0","14","129","165","818","616","668","619","150","108",
"1400000US13013180204","Census Tract 1802.04, Barrow County, Georgia","3202","527","1739","342","947","303","64","86","46","67","0","14","90","79","316","283","266","291","50","42",
"1400000US13013180205","Census Tract 1802.05, Barrow County, Georgia","4708","583","3320","539","813","250","44","53","45","44","0","14","138","116","348","166","67","76","281","133",
"1400000US13013180206","Census Tract 1802.06, Barrow County, Georgia","3298","446","2760","488","227","176","0","14","0","14","0","14","137","131","174","132","0","14","174","132",
"1400000US13013180301","Census Tract 1803.01, Barrow County, Georgia","3100","600","2693","577","212","112","7","12","55","48","0","14","23","37","110","66","0","14","110","66",
"1400000US13013180302","Census Tract 1803.02, Barrow County, Georgia","5598","680","4651","659","551","182","0","20","66","70","0","20","77","89","253","202","63","90","190","194",
"1400000US13013180303","Census Tract 1803.03, Barrow County, Georgia","5769","958","5144","962","116","105","0","20","348","170","0","20","27","42","134","95","73","72","61","60",
"1400000US13013180401","Census Tract 1804.01, Barrow County, Georgia","5778","562","4917","550","501","236","0","20","254","165","0","20","23","40","83","71","37","55","46","38",
"1400000US13013180402","Census Tract 1804.02, Barrow County, Georgia","6754","709","4546","691","1028","231","13","25","209","207","0","20","685","379","273","178","171","163","102","80",
"1400000US13013180501","Census Tract 1805.01, Barrow County, Georgia","8029","871","5925","917","968","311","0","20","508","300","0","20","482","387","146","142","128","132","18","23",
"1400000US13013180502","Census Tract 1805.02, Barrow County, Georgia","4936","548","3506","485","892","376","0","14","103","112","5","12","192","122","238","173","106","106","132","138",
"1400000US13013180503","Census Tract 1805.03, Barrow County, Georgia","5635","619","4392","490","1043","329","0","20","25","32","0","20","114","115","61","59","24","36","37","48",
"1400000US13015960101","Census Tract 9601.01, Bartow County, Georgia","1636","319","1460","328","24","36","7","12","0","14","0","14","17","23","128","83","6","9","122","83",
"1400000US13015960103","Census Tract 9601.03, Bartow County, Georgia","3596","921","3367","909","74","75","0","14","0","14","0","14","0","14","155","122","0","14","155","122",
"1400000US13015960104","Census Tract 9601.04, Bartow County, Georgia","2967","352","2800","352","0","14","0","14","4","9","0","14","16","20","147","165","101","169","46","50",
"1400000US13015960105","Census Tract 9601.05, Bartow County, Georgia","3647","753","3345","767","0","14","0","14","0","14","0","14","66","89","236","217","0","14","236","217",
"1400000US13015960201","Census Tract 9602.01, Bartow County, Georgia","3104","808","2762","812","315","256","0","14","0","14","0","14","0","14","27","40","0","14","27","40",
"1400000US13015960202","Census Tract 9602.02, Bartow County, Georgia","3869","473","2143","591","423","248","0","14","0","14","2","4","1266","505","35","58","0","14","35","58",
"1400000US13015960203","Census Tract 9602.03, Bartow County, Georgia","4145","639","3903","623","124","140","0","14","0","14","0","14","99","161","19","42","0","14","19","42",
"1400000US13015960301","Census Tract 9603.01, Bartow County, Georgia","3558","1040","3429","1015","80","71","8","12","12","25","0","14","0","14","29","41","0","14","29","41",
"1400000US13015960302","Census Tract 9603.02, Bartow County, Georgia","3139","507","2893","442","207","178","0","14","0","14","0","14","13","26","26","44","0","14","26","44",
"1400000US13015960403","Census Tract 9604.03, Bartow County, Georgia","4510","782","2730","478","1144","507","0","14","8","14","0","14","1","2","627","575","403","395","224","320",
"1400000US13015960404","Census Tract 9604.04, Bartow County, Georgia","5555","742","4399","764","601","336","0","20","292","326","0","20","0","20","263","269","128","187","135","191",
"1400000US13015960405","Census Tract 9604.05, Bartow County, Georgia","4816","814","3468","589","1225","619","0","14","31","40","0","14","9","18","83","50","0","14","83","50",
"1400000US13015960406","Census Tract 9604.06, Bartow County, Georgia","2639","416","2022","356","419","256","0","14","110","168","0","14","88","85","0","14","0","14","0","14",
"1400000US13015960407","Census Tract 9604.07, Bartow County, Georgia","2547","529","1996","474","131","135","3","7","98","156","0","14","6","12","313","164","0","14","313","164",
"1400000US13015960501","Census Tract 9605.01, Bartow County, Georgia","5880","843","3445","665","1248","440","36","68","10","18","60","115","666","286","415","251","0","20","415","251",
"1400000US13015960502","Census Tract 9605.02, Bartow County, Georgia","2600","522","2185","549","126","146","0","14","0","14","0","14","154","177","135","128","116","120","19","30",
"1400000US13015960601","Census Tract 9606.01, Bartow County, Georgia","5070","719","4448","728","454","343","0","20","0","20","0","20","17","33","151","107","49","78","102","86",
"1400000US13015960602","Census Tract 9606.02, Bartow County, Georgia","3244","458","2062","506","838","329","0","14","8","15","0","14","44","66","292","224","0","14","292","224",
"1400000US13015960701","Census Tract 9607.01, Bartow County, Georgia","4801","720","2661","622","1155","435","26","38","1","3","0","14","214","281","744","327","705","317","39","68",
"1400000US13015960702","Census Tract 9607.02, Bartow County, Georgia","2751","517","2341","510","278","190","0","14","32","47","0","14","0","14","100","109","0","14","100","109",
"1400000US13015960801","Census Tract 9608.01, Bartow County, Georgia","4355","837","3433","575","567","533","17","28","75","115","0","14","181","207","82","70","0","14","82","70",
"1400000US13015960802","Census Tract 9608.02, Bartow County, Georgia","3242","718","3013","737","95","90","48","71","0","14","0","14","86","147","0","14","0","14","0","14",
"1400000US13015960804","Census Tract 9608.04, Bartow County, Georgia","3484","440","3107","473","45","33","8","13","219","266","0","14","19","18","86","115","3","9","83","114",
"1400000US13015960805","Census Tract 9608.05, Bartow County, Georgia","1922","368","1803","363","98","91","0","14","0","14","0","14","13","16","8","16","0","14","8","16",
