"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!White alone","Margin of Error!!Total:!!White alone","Estimate!!Total:!!Black or African American alone","Margin of Error!!Total:!!Black or African American alone","Estimate!!Total:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!American Indian and Alaska Native alone","Estimate!!Total:!!Asian alone","Margin of Error!!Total:!!Asian alone","Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Some Other Race alone","Margin of Error!!Total:!!Some Other Race alone","Estimate!!Total:!!Two or More Races:","Margin of Error!!Total:!!Two or More Races:","Estimate!!Total:!!Two or More Races:!!Two races including Some Other Race","Margin of Error!!Total:!!Two or More Races:!!Two races including Some Other Race","Estimate!!Total:!!Two or More Races:!!Two races excluding Some Other Race, and three or more races","Margin of Error!!Total:!!Two or More Races:!!Two races excluding Some Other Race, and three or more races",
"0400000US13","Georgia","10940407","*****","5574133","7124","3401114","8546","44547","2713","495388","2852","7534","1070","504292","10321","913399","14790","514230","9518","399169","9489",
"1400000US13001950100","Census Tract 9501; Appling County; Georgia","3219","595","2557","492","310","342","6","10","0","14","0","14","326","326","20","35","20","35","0","14",
"1400000US13001950201","Census Tract 9502.01; Appling County; Georgia","2246","454","1704","418","351","148","0","14","22","62","0","14","102","135","67","56","28","31","39","50",
"1400000US13001950202","Census Tract 9502.02; Appling County; Georgia","2152","509","886","298","858","301","0","14","0","14","0","14","53","93","355","306","277","301","78","69",
"1400000US13001950301","Census Tract 9503.01; Appling County; Georgia","3264","470","2064","346","811","387","18","39","22","36","0","14","58","83","291","197","207","179","84","83",
"1400000US13001950302","Census Tract 9503.02; Appling County; Georgia","2144","367","1560","288","305","224","11","15","29","42","0","14","0","14","239","176","116","128","123","121",
"1400000US13001950400","Census Tract 9504; Appling County; Georgia","1715","375","1330","299","173","98","2","4","0","14","0","14","33","41","177","195","25","34","152","194",
"1400000US13001950500","Census Tract 9505; Appling County; Georgia","3753","483","2567","389","543","332","19","44","0","14","0","14","285","257","339","280","297","280","42","34",
"1400000US13003960100","Census Tract 9601; Atkinson County; Georgia","1830","379","1130","258","447","226","0","14","0","14","0","14","152","112","101","112","0","14","101","112",
"1400000US13003960200","Census Tract 9602; Atkinson County; Georgia","4710","414","2687","385","677","182","0","14","0","14","0","14","608","281","738","267","358","218","380","192",
"1400000US13003960300","Census Tract 9603; Atkinson County; Georgia","1797","266","1452","350","12","18","0","14","0","14","0","14","119","108","214","238","214","238","0","14",
