"GEO_ID","NAME","B23025_001E","B23025_001M","B23025_002E","B23025_002M","B23025_003E","B23025_003M","B23025_004E","B23025_004M","B23025_005E","B23025_005M","B23025_006E","B23025_006M","B23025_007E","B23025_007M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!In labor force:","Margin of Error!!Total:!!In labor force:","Estimate!!Total:!!In labor force:!!Civilian labor force:","Margin of Error!!Total:!!In labor force:!!Civilian labor force:","Estimate!!Total:!!In labor force:!!Civilian labor force:!!Employed","Margin of Error!!Total:!!In labor force:!!Civilian labor force:!!Employed","Estimate!!Total:!!In labor force:!!Civilian labor force:!!Unemployed","Margin of Error!!Total:!!In labor force:!!Civilian labor force:!!Unemployed","Estimate!!Total:!!In labor force:!!Armed Forces","Margin of Error!!Total:!!In labor force:!!Armed Forces","Estimate!!Total:!!Not in labor force","Margin of Error!!Total:!!Not in labor force",
"0400000US13","Georgia","8187263","2737","5174538","10755","5125182","10713","4834622","11248","290560","4651","49356","1514","3012725","10156",
"1400000US13001950100","Census Tract 9501, Appling County, Georgia","2471","291","1455","235","1455","235","1394","222","61","54","0","13","1016","217",
"1400000US13001950200","Census Tract 9502, Appling County, Georgia","3914","476","1821","310","1815","312","1770","302","45","37","6","11","2093","377",
"1400000US13001950300","Census Tract 9503, Appling County, Georgia","3834","397","1971","351","1971","351","1846","340","125","88","0","19","1863","312",
"1400000US13001950400","Census Tract 9504, Appling County, Georgia","1311","159","708","133","708","133","670","121","38","39","0","13","603","104",
"1400000US13001950500","Census Tract 9505, Appling County, Georgia","2844","329","1530","265","1530","265","1494","263","36","23","0","13","1314","209",
"1400000US13003960100","Census Tract 9601, Atkinson County, Georgia","1733","219","876","159","876","159","806","165","70","36","0","13","857","152",
"1400000US13003960200","Census Tract 9602, Atkinson County, Georgia","3488","215","2116","233","2116","233","1911","219","205","94","0","13","1372","193",
"1400000US13003960300","Census Tract 9603, Atkinson County, Georgia","1046","203","547","111","547","111","539","112","8","12","0","13","499","150",
"1400000US13005970100","Census Tract 9701, Bacon County, Georgia","2202","310","1228","255","1228","255","1221","254","7","12","0","13","974","223",
"1400000US13005970201","Census Tract 9702.01, Bacon County, Georgia","3187","311","1872","274","1872","274","1739","289","133","101","0","13","1315","196",
"1400000US13005970202","Census Tract 9702.02, Bacon County, Georgia","3243","349","1202","232","1202","232","1148","221","54","56","0","13","2041","284",
"1400000US13007960100","Census Tract 9601, Baker County, Georgia","1605","164","772","144","772","144","742","146","30","31","0","13","833","161",
"1400000US13007960200","Census Tract 9602, Baker County, Georgia","948","168","403","111","403","111","350","118","53","43","0","13","545","148",
