"GEO_ID","NAME","B23025_001E","B23025_001M","B23025_002E","B23025_002M","B23025_003E","B23025_003M","B23025_004E","B23025_004M","B23025_005E","B23025_005M","B23025_006E","B23025_006M","B23025_007E","B23025_007M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!In labor force:","Margin of Error!!Total:!!In labor force:","Estimate!!Total:!!In labor force:!!Civilian labor force:","Margin of Error!!Total:!!In labor force:!!Civilian labor force:","Estimate!!Total:!!In labor force:!!Civilian labor force:!!Employed","Margin of Error!!Total:!!In labor force:!!Civilian labor force:!!Employed","Estimate!!Total:!!In labor force:!!Civilian labor force:!!Unemployed","Margin of Error!!Total:!!In labor force:!!Civilian labor force:!!Unemployed","Estimate!!Total:!!In labor force:!!Armed Forces","Margin of Error!!Total:!!In labor force:!!Armed Forces","Estimate!!Total:!!Not in labor force","Margin of Error!!Total:!!Not in labor force",
"0400000US13","Georgia","8582918","3305","5467313","14960","5407819","15033","5130869","15337","276950","5589","59494","2036","3115605","15171",
"1400000US13001950100","Census Tract 9501; Appling County; Georgia","2450","367","1358","315","1358","315","1342","314","16","22","0","14","1092","314",
"1400000US13001950201","Census Tract 9502.01; Appling County; Georgia","1966","425","1151","295","1151","295","1125","294","26","52","0","14","815","231",
"1400000US13001950202","Census Tract 9502.02; Appling County; Georgia","1964","293","757","198","757","198","669","196","88","95","0","14","1207","235",
"1400000US13001950301","Census Tract 9503.01; Appling County; Georgia","2212","392","869","229","835","230","797","229","38","61","34","54","1343","281",
"1400000US13001950302","Census Tract 9503.02; Appling County; Georgia","1477","349","783","251","783","251","727","243","56","45","0","14","694","257",
"1400000US13001950400","Census Tract 9504; Appling County; Georgia","1345","311","866","249","866","249","866","249","0","14","0","14","479","123",
"1400000US13001950500","Census Tract 9505; Appling County; Georgia","2981","374","1786","386","1786","386","1737","378","49","53","0","14","1195","252",
"1400000US13003960100","Census Tract 9601; Atkinson County; Georgia","1654","279","803","186","803","186","800","186","3","5","0","14","851","224",
"1400000US13003960200","Census Tract 9602; Atkinson County; Georgia","3563","326","2131","273","2131","273","2029","260","102","70","0","14","1432","222",
"1400000US13003960300","Census Tract 9603; Atkinson County; Georgia","1163","223","762","170","762","170","762","170","0","14","0","14","401","107",
"1400000US13005970100","Census Tract 9701; Bacon County; Georgia","2176","416","1213","298","1184","293","1184","293","0","14","29","44","963","238",
"1400000US13005970201","Census Tract 9702.01; Bacon County; Georgia","3160","339","1800","293","1800","293","1694","295","106","96","0","14","1360","211",
"1400000US13005970202","Census Tract 9702.02; Bacon County; Georgia","3386","455","1543","313","1543","313","1503","309","40","50","0","14","1843","293",
"1400000US13007960100","Census Tract 9601; Baker County; Georgia","1474","151","733","139","733","139","659","124","74","57","0","14","741","153",
"1400000US13007960200","Census Tract 9602; Baker County; Georgia","869","190","272","92","272","92","250","95","22","27","0","14","597","176",
"1400000US13009970101","Census Tract 9701.01; Baldwin County; Georgia","1811","396","1092","269","1092","269","1070","271","22","52","0","14","719","248",
"1400000US13009970102","Census Tract 9701.02; Baldwin County; Georgia","2479","469","1226","292","1226","292","1201","287","25","28","0","14","1253","330",
"1400000US13009970201","Census Tract 9702.01; Baldwin County; Georgia","2607","472","1588","296","1588","296","1548","280","40","62","0","14","1019","289",
"1400000US13009970202","Census Tract 9702.02; Baldwin County; Georgia","2390","305","1534","294","1534","294","1498","293","36","49","0","14","856","161",
"1400000US13009970301","Census Tract 9703.01; Baldwin County; Georgia","2238","321","1236","247","1236","247","1209","251","27","67","0","14","1002","242",
"1400000US13009970302","Census Tract 9703.02; Baldwin County; Georgia","2605","382","1536","342","1536","342","1475","328","61","75","0","14","1069","240",
"1400000US13009970400","Census Tract 9704; Baldwin County; Georgia","2971","475","1609","386","1609","386","1590","383","19","22","0","14","1362","299",
"1400000US13009970501","Census Tract 9705.01; Baldwin County; Georgia","3863","544","1570","378","1570","378","1252","382","318","267","0","14","2293","316",
"1400000US13009970502","Census Tract 9705.02; Baldwin County; Georgia","2484","337","859","205","859","205","782","191","77","94","0","14","1625","294",
"1400000US13009970600","Census Tract 9706; Baldwin County; Georgia","2834","437","1407","315","1407","315","1361","323","46","49","0","14","1427","295",
"1400000US13009970701","Census Tract 9707.01; Baldwin County; Georgia","1523","272","512","134","512","134","474","129","38","45","0","14","1011","201",
"1400000US13009970702","Census Tract 9707.02; Baldwin County; Georgia","1567","377","749","316","749","316","709","313","40","31","0","14","818","156",
